id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group
txn_1S8x9FGxzrUh3F1NHGy3703w,stripe_fee,,-0.04,0.01,,,-0.05,nzd,2025-09-19 05:46,2025-09-19 05:46,Billing - Usage Fee (2025-09-18),,,,,
txn_3S8tLoGxzrUh3F1N1x1P2WOd,charge,ch_3S8tLoGxzrUh3F1N1mNsWk1v,3.99,0.45,,,3.54,nzd,2025-09-19 01:43,2025-09-25 00:00,Subscription creation,3.99,nzd,,,
txn_3S8XgKGxzrUh3F1N1o16cIlq,charge,ch_3S8XgKGxzrUh3F1N1NAmZsam,3.99,0.45,,,3.54,nzd,2025-09-18 02:34,2025-09-24 00:00,Subscription creation,3.99,nzd,,,
txn_3S8WewGxzrUh3F1N01hBygjA,charge,ch_3S8WewGxzrUh3F1N0sOAHKqI,1.99,0.37,,,1.62,nzd,2025-09-18 01:29,2025-09-24 00:00,Subscription creation,1.99,nzd,,,
txn_1S7qzKGxzrUh3F1NjmfEM3MN,stripe_fee,,-0.01,0.00,,,-0.01,nzd,2025-09-16 04:59,2025-09-16 04:59,Billing - Usage Fee (2025-09-15),,,,,
txn_3S7lXqGxzrUh3F1N1bMJXFUx,charge,ch_3S7lXqGxzrUh3F1N1rxOjVmh,1.99,0.37,,,1.62,nzd,2025-09-15 23:10,2025-09-19 00:00,Subscription creation,1.99,nzd,,,
txn_1S7UZiGxzrUh3F1NQDt9r9f4,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-09-15 05:03,2025-09-15 05:03,Billing - Usage Fee (2025-09-14),,,,,
txn_3S7D5nGxzrUh3F1N1xHhANNd,charge,ch_3S7D5nGxzrUh3F1N1rfv3ymV,3.99,0.45,,,3.54,nzd,2025-09-14 10:23,2025-09-19 00:00,Subscription creation,3.99,nzd,,,
txn_1S4aL5GxzrUh3F1NrdoHtou6,stripe_fee,,-0.03,0.00,,,-0.03,nzd,2025-09-07 04:36,2025-09-07 04:36,Billing - Usage Fee (2025-09-06),,,,,
txn_3S4KDIGxzrUh3F1N0IhwCqLf,charge,ch_3S4KDIGxzrUh3F1N0sbiSo9S,1.00,0.34,,,0.66,nzd,2025-09-06 11:23,2025-09-13 00:00,Subscription creation,1.00,nzd,,,
txn_3S4JBfGxzrUh3F1N1rPwDOXk,charge,ch_3S4JBfGxzrUh3F1N132GnSCF,1.00,0.34,,,0.66,nzd,2025-09-06 10:17,2025-09-13 00:00,Subscription creation,1.00,nzd,,,
txn_3S4Ev5GxzrUh3F1N1UJJEy24,charge,ch_3S4Ev5GxzrUh3F1N1XqVdfPV,1.00,0.34,,,0.66,nzd,2025-09-06 05:44,2025-09-13 00:00,Subscription creation,1.00,nzd,,,
txn_3S4EfsGxzrUh3F1N1mepMwJg,charge,ch_3S4EfsGxzrUh3F1N1DiEycG0,1.02,0.34,,,0.68,nzd,2025-09-06 05:28,2025-09-13 00:00,Subscription creation,1.02,nzd,,,
